Target Acquired,Target Acquired,Target Acquired
Vem Tabook,25.00%,Uncommon (20.00%)
Leekter,50.00%,Uncommon (20.00%)
Shik Tal,50.00%,Uncommon (20.00%)
Executioner Zura,20.00%,Rare (2.01%)
Executioner Garesh,20.00%,Rare (2.01%)
Executioner Harkonar,20.00%,Rare (2.01%)
Executioner Reth,20.00%,Rare (2.01%)
Executioner Dhurnam,20.00%,Rare (8.33%)
Executioner Vay Molta,20.00%,Rare (2.01%)
Executioner Dok Thul,20.00%,Rare (2.01%)
Executioner Nok,20.00%,Rare (2.01%)
Executioner Gorth,20.00%,Rare (2.01%)
Vapos Sapping Osprey,3.00%,Legendary (0.67%)
Vapos Elite Crewman,3.00%,Legendary (0.67%)
Vapos Moa,3.00%,Ultra Rare (1.01%)
Vapos Prod Crewman,3.00%,Legendary (0.50%)
Vapos Nullifier,3.00%,Legendary (0.50%)
Vapos Crewman,3.00%,Ultra Rare (1.01%)
Vapos Bioengineer,4.00%,Uncommon (25.00%)
Vapos Shield Osprey,3.00%,Ultra Rare (1.01%)
Vapos Shockwave Moa,3.00%,Ultra Rare (1.01%)
Vapos Sniper Crewman,3.00%,Legendary (0.50%)
Vapos Oxium Osprey,3.00%,Ultra Rare (1.01%)
Vapos Fusion Moa,3.00%,Ultra Rare (1.01%)
Taro Moa,3.00%,Ultra Rare (1.01%)
Taro Elite Crewman,3.00%,Legendary (0.67%)
Taro Stropha Crewman,3.00%,Legendary (0.50%)
Taro Nullifier Crewman,3.00%,Legendary (0.50%)
Axio Nullifier Crewman,3.00%,Legendary (0.50%)
Vorac Nullifier Crewman,3.00%,Legendary (0.50%)
Taro Crewman,3.00%,Ultra Rare (1.01%)
Taro Shield Osprey,3.00%,Ultra Rare (1.01%)
Taro Shockwave Moa,3.00%,Ultra Rare (1.01%)
Taro Pilot,4.00%,Uncommon (25.00%)
Taro Tech,3.00%,Legendary (0.67%)
Aurax Baculus,3.00%,Rare (2.01%)
Taro Engineer,3.00%,Legendary (0.67%)
Orm Moa,3.00%,Ultra Rare (1.01%)
Orm Elite Crewman,3.00%,Legendary (0.67%)
Orm Stropha Crewman,3.00%,Legendary (0.50%)
Orm Nullifier Crewman,3.00%,Legendary (0.50%)
Orm Crewman,3.00%,Ultra Rare (1.01%)
Orm Shield Osprey,3.00%,Ultra Rare (1.01%)
Orm Pilot,4.00%,Uncommon (25.00%)
Orm Shockwave Moa,3.00%,Ultra Rare (1.01%)
Orm Tech,3.00%,Legendary (0.67%)
Orm Engineer,3.00%,Legendary (0.67%)
Taro Secura Osprey,3.00%,Ultra Rare (1.01%)
Axio Moa,3.00%,Ultra Rare (1.01%)
Axio Elite Crewman,3.00%,Legendary (0.67%)
Axio Stropha Crewman,3.00%,Legendary (0.50%)
Axio Crewman,3.00%,Ultra Rare (1.01%)
Axio Shield Osprey,3.00%,Ultra Rare (1.01%)
Axio Pilot,4.00%,Uncommon (25.00%)
Axio Shockwave Moa,3.00%,Ultra Rare (1.01%)
Axio Tech,3.00%,Legendary (0.67%)
Axio Engineer,3.00%,Legendary (0.67%)
Vorac Moa,3.00%,Ultra Rare (1.01%)
Vorac Elite Crewman,3.00%,Legendary (0.67%)
Vorac Stropha Crewman,3.00%,Legendary (0.50%)
Vorac Crewman,3.00%,Ultra Rare (1.01%)
Vorac Shield Osprey,3.00%,Ultra Rare (1.01%)
Vorac Pilot,4.00%,Uncommon (25.00%)
Vorac Shockwave Moa,3.00%,Ultra Rare (1.01%)
Vorac Tech,3.00%,Legendary (0.67%)
Vorac Engineer,3.00%,Legendary (0.67%)
Leaping Thrasher,4.50%,Legendary (0.50%)
Machinist,3.00%,Legendary (0.67%)
Carrion Charger,3.00%,Rare (2.01%)
Arbitration Shield Drone,3.00%,Ultra Rare (1.01%)
Corrupted Drahk Master,3.00%,Legendary (0.67%)
Corrupted Power Carrier,3.00%,Ultra Rare (1.01%)
Tusk Eviscerator,3.00%,Rare (2.01%)
Tusk Bombard,3.00%,Legendary (0.50%)
Tusk Reaver,3.00%,Legendary (0.50%)
Tusk Hellion,3.00%,Legendary (0.50%)
Tusk Hellion,3.00%,Legendary (0.50%)
Tusk Lancer,3.00%,Legendary (0.50%)
Tusk Shield Lancer,3.00%,Ultra Rare (1.01%)
Tusk Trooper,3.00%,Rare (2.01%)
Tusk Seeker,3.00%,Legendary (0.67%)
Tusk Roller,3.00%,Rare (2.01%)
Tusk Flameblade,3.00%,Ultra Rare (1.01%)
Tusk Butcher,3.00%,Ultra Rare (1.01%)
Tusk Ballista,3.00%,Rare (2.01%)
Tusk Mortar Bombard,3.00%,Legendary (0.50%)
Tusk Predator,3.00%,Ultra Rare (1.01%)
Orphid Husks,3.00%,Ultra Rare (1.01%)
Undying Flyer,4.50%,Legendary (0.67%)
Nightwatch Reaver,3.00%,Legendary (0.50%)
Ratel,3.00%,Ultra Rare (1.01%)
Minima Moa,3.00%,Ultra Rare (1.01%)
Nightwatch Carrier,3.00%,Ultra Rare (1.01%)
Juno Fog Comba,4.00%,Uncommon (25.00%)
Juno Sap Comba,4.00%,Uncommon (25.00%)
Juno Nul Comba,4.00%,Uncommon (25.00%)
Juno Slo Comba,4.00%,Uncommon (25.00%)
Juno Elite Crewman,3.00%,Legendary (0.67%)
Juno Crewman,3.00%,Rare (2.01%)
Juno Nullifier Crewman,4.00%,Uncommon (25.00%)
Juno Sniper Crewman,4.00%,Uncommon (25.00%)
Juno Tech,3.00%,Legendary (0.67%)
Juno Malleus Machinist,3.00%,Legendary (0.50%)
Juno Dera Moa,3.00%,Ultra Rare (1.01%)
Juno Disc Moa,3.00%,Ultra Rare (1.01%)
Juno Geminex Moa,3.00%,Rare (2.01%)
Juno Glaxion Moa,3.00%,Ultra Rare (1.01%)
Juno Jactus Osprey,3.00%,Legendary (0.67%)
Juno Oxium Osprey,3.00%,Ultra Rare (1.01%)
Juno Shield Osprey,3.00%,Ultra Rare (1.01%)
Test Moa,3.00%,Ultra Rare (1.01%)
Eidolon Vomvalyst,5.00%,Legendary (0.67%)
Guardsman,3.00%,Rare (2.01%)
Muzureh Entrati Coffer,3.00%,Very Common (100.00%)
Thalmin Entrati Coffer,3.00%,Very Common (100.00%)
Rogue Bonewidow,3.00%,Common (33.33%)
Rogue Voidrig,3.00%,Common (33.33%)
Nauseous Void Shade,3.00%,Rare (2.01%)
Void Shade,3.00%,Rare (2.01%)
Attack Drone,3.00%,Ultra Rare (1.01%)
Remech Osprey,3.00%,Ultra Rare (1.01%)
Mutalist Osprey Carrier,3.00%,Ultra Rare (1.01%)
Datalyst,4.00%,Uncommon (25.00%)
Nemes,3.00%,Ultra Rare (1.01%)
Lynx,3.00%,Rare (2.01%)
Corrupted Heavy Gunner,3.00%,Legendary (0.67%)
Councilor Vay Hek,100.00%,Ultra Rare (1.01%)
Corpus Power Carrier,3.00%,Ultra Rare (1.01%)
Sapping Osprey,3.00%,Legendary (0.67%)
Nervo,3.00%,Rare (2.01%)
Elite Lancer,20.00%,Rare (2.01%)
Eviscerator,3.00%,Rare (2.01%)
Elite Crewman,3.00%,Legendary (0.67%)
Kuva Eviscerator,3.00%,Rare (2.01%)
Kuva Drahk Master,3.00%,Ultra Rare (1.01%)
Kuva Hyekka Master,3.00%,Ultra Rare (1.01%)
Kuva Hellion Carrier,3.00%,Ultra Rare (1.01%)
Kuva Hellion,3.00%,Legendary (0.50%)
Kuva Lancer,3.00%,Legendary (0.50%)
Kuva Shield Lancer,3.00%,Ultra Rare (1.01%)
Kuva Trooper,3.00%,Rare (2.01%)
Kuva Seeker,3.00%,Legendary (0.67%)
Kuva Roller,3.00%,Rare (2.01%)
Kuva Flameblade,3.00%,Ultra Rare (1.01%)
Kuva Butcher,3.00%,Ultra Rare (1.01%)
Kuva Ballista,3.00%,Rare (2.01%)
Kuva Power Carrier,3.00%,Ultra Rare (1.01%)
Fusion Moa,3.00%,Ultra Rare (1.01%)
Artificer,100.00%,Ultra Rare (1.01%)
Carabus,3.00%,Ultra Rare (1.01%)
Drahk Master,3.00%,Ultra Rare (1.01%)
Heavy Gunner,3.00%,Ultra Rare (1.01%)
Arid Heavy Gunner,3.00%,Ultra Rare (1.01%)
Bombard,3.00%,Legendary (0.50%)
Hyekka Master,3.00%,Ultra Rare (1.01%)
Frontier Bailiff,3.00%,Ultra Rare (1.01%)
Bailiff,3.00%,Ultra Rare (1.01%)
Bailiff,3.00%,Ultra Rare (1.01%)
Bailiff Defector,3.00%,Ultra Rare (1.01%)
Arid Eviscerator,3.00%,Rare (2.01%)
Frontier Eviscerator,3.00%,Rare (2.01%)
Frontier Heavy Gunner,3.00%,Ultra Rare (1.01%)
Hellion Power Carrier,3.00%,Ultra Rare (1.01%)
Arid Hellion,3.00%,Legendary (0.50%)
Frontier Hellion,3.00%,Legendary (0.50%)
Sprag,3.00%,Rare (2.01%)
Hellion,3.00%,Legendary (0.50%)
Ven'Kra Tel,3.00%,Rare (2.01%)
Lancer,3.00%,Legendary (0.50%)
Shield Lancer,3.00%,Ultra Rare (1.01%)
Trooper,3.00%,Rare (2.01%)
Manic Bombard,40.00%,Legendary (0.67%)
Arid Seeker,3.00%,Legendary (0.67%)
Frontier Seeker,3.00%,Legendary (0.67%)
Seeker,3.00%,Legendary (0.67%)
Frontier Regulator,3.00%,Ultra Rare (1.01%)
Regulator,3.00%,Ultra Rare (1.01%)
Arid Lancer,3.00%,Legendary (0.50%)
Frontier Lancer,3.00%,Legendary (0.50%)
Roller,3.00%,Rare (2.01%)
Roller Sentry,3.00%,Rare (2.01%)
Kuva Guardian,40.00%,Ultra Rare (1.01%)
Flameblade,3.00%,Ultra Rare (1.01%)
Butcher,3.00%,Ultra Rare (1.01%)
Arid Trooper,3.00%,Rare (2.01%)
Frontier Trooper,3.00%,Rare (2.01%)
Ballista,3.00%,Rare (2.01%)
Grineer Power Carrier,3.00%,Ultra Rare (1.01%)
Hunhow,100.00%,Rare (2.78%)
Brood Mother,3.00%,Ultra Rare (1.01%)
Ancient Healer,3.00%,Ultra Rare (1.01%)
Venin Mutalist,3.00%,Legendary (0.67%)
Nauseous Crawler,3.00%,Rare (2.01%)
Lobber Crawler,3.00%,Rare (2.01%)
Electric Crawler,3.00%,Rare (2.01%)
Crawler,3.00%,Ultra Rare (1.01%)
Charger,3.00%,Rare (2.01%)
Swarm Mutalist Moa,3.00%,Ultra Rare (1.01%)
Toxic Crawler,3.00%,Rare (2.01%)
Volatile Runner,3.00%,Ultra Rare (1.01%)
Juggernaut Behemoth,3.00%,Rare (2.01%)
Juggernaut,3.00%,Rare (2.01%)
Jack O'Naut,3.00%,Rare (2.01%)
Moa,3.00%,Ultra Rare (1.01%)
Leech Osprey,3.00%,Legendary (0.67%)
Grineer Manic,50.00%,Legendary (0.67%)
Grineer Manic,3.00%,Legendary (0.67%)
Prod Crewman,3.00%,Legendary (0.50%)
Mine Osprey,3.00%,Legendary (0.67%)
Nul Comba,4.00%,Uncommon (25.00%)
Nul Scrambus,4.00%,Uncommon (25.00%)
Sap Comba,4.00%,Uncommon (25.00%)
Sap Scrambus,4.00%,Uncommon (25.00%)
Slo Comba,4.00%,Uncommon (25.00%)
Slo Scrambus,4.00%,Uncommon (25.00%)
Fog Comba,4.00%,Uncommon (25.00%)
Fog Scrambus,4.00%,Uncommon (25.00%)
Nullifier Crewman,3.00%,Legendary (0.50%)
Corrupted Bombard,3.00%,Legendary (0.67%)
Orokin Drone,3.00%,Legendary (0.67%)
Corrupted Nullifier,3.00%,Legendary (0.67%)
Rare Corpus Storage Container,100.00%,Very Common (100.00%)
Forgotten Grineer Storage Container,100.00%,Very Common (100.00%)
Rare Grineer Storage Container,100.00%,Very Common (100.00%)
Rare Orokin Storage Container,3.00%,Rare (8.33%)
Rare Orokin Storage Container,3.00%,Very Common (100.00%)
Crewman,3.00%,Ultra Rare (1.01%)
Drekar Butcher,3.00%,Legendary (0.67%)
Drekar Elite Lancer,3.00%,Legendary (0.67%)
Drekar Eviscerator,3.00%,Rare (2.01%)
Drekar Scorpion,3.00%,Legendary (0.50%)
Drekar Seeker,3.00%,Legendary (0.67%)
Drekar Manic,3.00%,Ultra Rare (1.01%)
Drekar Manic Bombard,40.00%,Legendary (0.67%)
Drekar Lancer,3.00%,Legendary (0.67%)
Drekar Trooper,3.00%,Rare (2.01%)
Sensor Regulator,3.00%,Ultra Rare (1.01%)
Orokin Spectator,3.00%,Legendary (0.67%)
Shield Osprey,3.00%,Ultra Rare (1.01%)
Shockwave Moa,3.00%,Ultra Rare (1.01%)
Sniper Crewman,3.00%,Legendary (0.50%)
Stalker,100.00%,Rare (2.78%)
Shadow Stalker,100.00%,Rare (2.78%)
Latcher,3.00%,Rare (2.01%)
Oxium Osprey,3.00%,Ultra Rare (1.01%)
Mutalist Osprey,3.00%,Legendary (0.67%)
Reinforced Corpus Storage Container,100.00%,Very Common (100.00%)
Reinforced Grineer Storage Container,100.00%,Very Common (100.00%)
Reinforced Orokin Storage Container,3.00%,Very Common (100.00%)
Councilor Vay Hek,100.00%,Rare (2.01%)
Vay Hek Terra Frame,100.00%,Rare (2.01%)
Rathuum Broadcaster,3.00%,Ultra Rare (1.01%)
Corrupted Warden,3.00%,Ultra Rare (1.01%)
Grineer Warden,3.00%,Ultra Rare (1.01%)
Sikula,3.00%,Legendary (0.67%)
Deimos Leaping Thrasher,4.50%,Legendary (0.50%)
Deimos Carnis,4.50%,Legendary (0.50%)
Deimos Jugulus,4.50%,Legendary (0.50%)
Deimos Jugulus Rex,100.00%,Rare (2.01%)
Deimos Mutalist Osprey Carrier,3.00%,Ultra Rare (1.01%)
Deimos Brood Mother,3.00%,Ultra Rare (1.01%)
Polyp-Hog Juggernaut,3.00%,Rare (2.01%)
Lancer Survivor,3.00%,Legendary (0.50%)
Trooper Survivor,3.00%,Rare (2.01%)
Deimos Ancient Healer,3.00%,Ultra Rare (1.01%)
Deimos Venin Mutalist,3.00%,Legendary (0.67%)
Deimos Saxum,4.50%,Legendary (0.50%)
Deimos Juggernaut,3.00%,Rare (2.01%)
Deimos Juggernaut,3.00%,Rare (2.01%)
Deimos Runner,3.00%,Ultra Rare (1.01%)
Garv,3.00%,Ultra Rare (1.01%)
Deimos Swarm Mutalist Moa,3.00%,Ultra Rare (1.01%)
Deimos Charger,3.00%,Rare (2.01%)
Basal Diploid,3.50%,Legendary (0.67%)
Basal Diploid Rex,3.50%,Legendary (0.67%)
Feral Diploid,3.50%,Legendary (0.67%)
Feral Diploid Rex,3.50%,Legendary (0.67%)
Narmer Flameblade,3.00%,Ultra Rare (1.01%)
Narmer Bombard,3.00%,Legendary (0.50%)
Narmer Commander,3.00%,Legendary (0.50%)
Narmer Observation Drone,3.00%,Ultra Rare (1.01%)
Narmer Power Carrier,3.00%,Ultra Rare (1.01%)
Narmer Dera Moa,3.00%,Ultra Rare (1.01%)
Narmer Disc Moa,3.00%,Ultra Rare (1.01%)
Narmer Geminex Moa,3.00%,Rare (2.01%)
Narmer Glaxion Moa,3.00%,Ultra Rare (1.01%)
Narmer Leech Osprey,3.00%,Legendary (0.67%)
Narmer Mine Osprey,3.00%,Legendary (0.67%)
Narmer Mine Osprey,3.00%,Legendary (0.67%)
Narmer Nullifier Crewman,3.00%,Legendary (0.50%)
Narmer Prod Crewman,3.00%,Legendary (0.50%)
Narmer Sapping Osprey,3.00%,Legendary (0.67%)
Narmer Shield Osprey,3.00%,Ultra Rare (1.01%)
Narmer Shield Osprey,3.00%,Ultra Rare (1.01%)
Narmer Shockwave Moa,3.00%,Ultra Rare (1.01%)
Narmer Sniper Crewman,3.00%,Legendary (0.50%)
Narmer Oxium Osprey,3.00%,Ultra Rare (1.01%)
Narmer Crewman,3.00%,Ultra Rare (1.01%)
Narmer Sensolyst Drone,3.00%,Ultra Rare (1.01%)
Narmer Elite Crewman,3.00%,Legendary (0.67%)
Narmer Ballista,3.00%,Rare (2.01%)
Narmer Gunner Warden,3.00%,Ultra Rare (1.01%)
Narmer Heavy Gunner,3.00%,Ultra Rare (1.01%)
Narmer Hellion,3.00%,Legendary (0.50%)
Narmer Lancer,3.00%,Legendary (0.50%)
Narmer Machinist,3.00%,Legendary (0.67%)
Narmer Seeker,3.00%,Legendary (0.67%)
Narmer Regulator,3.00%,Ultra Rare (1.01%)
Narmer Shield Lancer,3.00%,Ultra Rare (1.01%)
Narmer Trooper,3.00%,Rare (2.01%)
Narmer Tech,3.00%,Legendary (0.67%)
Narmer Osprey,3.00%,Ultra Rare (1.01%)
Narmer Coildrive,3.00%,Legendary (0.50%)
Breacher Moa,3.00%,Ultra Rare (1.01%)
Striker Moa,3.00%,Ultra Rare (1.01%)
Shield Drone,3.00%,Ultra Rare (1.01%)
Kuva Lich Agor Rok (Level 70 - 79),3.00%,Legendary (0.52%)
Kuva Lich Agor Rok (Level 80 - 100),3.00%,Ultra Rare (1.67%)
Observation Drone,3.00%,Ultra Rare (1.01%)
Special Duty Coildrive,3.00%,Legendary (0.50%)
Vallis Surveillance Drone,3.00%,Ultra Rare (1.01%)
Terra Shield Osprey,3.00%,Ultra Rare (1.01%)
Terra Turret Osprey,3.00%,Ultra Rare (1.01%)
Coildrive,3.00%,Legendary (0.50%)
Rogg-417,3.00%,Legendary (0.50%)
Molted Cask,3.00%,Very Common (100.00%)
Ancient Molted Cask,3.00%,Very Common (100.00%)
,,
50 Endo,50 Endo,50 Endo
Source,Mod Drop Chance,Chance
Executioner Zura,20.00%,Uncommon (22.11%)
Executioner Garesh,20.00%,Uncommon (22.11%)
Executioner Harkonar,20.00%,Uncommon (22.11%)
Executioner Reth,20.00%,Uncommon (22.11%)
Executioner Dhurnam,20.00%,Common (45.83%)
Executioner Vay Molta,20.00%,Uncommon (22.11%)
Executioner Dok Thul,20.00%,Uncommon (22.11%)
Executioner Nok,20.00%,Uncommon (22.11%)
Executioner Gorth,20.00%,Uncommon (22.11%)
Vapos Tech,3.00%,Rare (5.53%)
Vapos Elite Crewman,3.00%,Rare (5.53%)
Vapos Nullifier,3.00%,Uncommon (11.06%)
Vapos Railgun Moa,3.00%,Uncommon (11.28%)
Vapos Shield Osprey,3.00%,Rare (7.37%)
Vapos Detron Crewman,3.00%,Rare (5.64%)
Vapos Sniper Crewman,3.00%,Uncommon (11.06%)
Vapos Oxium Osprey,3.00%,Rare (7.37%)
Vapos Fusion Moa,3.00%,Rare (5.53%)
Vapos Aquila,20.00%,Rare (7.37%)
Optio,3.00%,Rare (5.53%)
Taro Zerca,3.00%,Rare (5.64%)
Taro Vambac,3.00%,Rare (5.64%)
Taro Numon,3.00%,Rare (5.64%)
Taro Elite Crewman,3.00%,Rare (5.53%)
Taro Nullifier Crewman,3.00%,Uncommon (11.06%)
Axio Nullifier Crewman,3.00%,Uncommon (11.06%)
Vorac Nullifier Crewman,3.00%,Uncommon (11.06%)
Taro Railgun Moa,3.00%,Uncommon (11.28%)
Taro Shield Osprey,3.00%,Rare (7.37%)
Taro Detron Crewman,3.00%,Rare (5.64%)
Aurax Actinic,3.00%,Rare (5.64%)
Aurax Vertec,3.00%,Rare (5.64%)
Aurax Baculus,3.00%,Rare (3.69%)
Orm Zerca,3.00%,Rare (5.64%)
Orm Vambac,3.00%,Rare (5.64%)
Orm Numon,3.00%,Rare (5.64%)
Orm Elite Crewman,3.00%,Rare (5.53%)
Orm Nullifier Crewman,3.00%,Uncommon (11.06%)
Orm Shield Osprey,3.00%,Rare (7.37%)
Orm Detron Crewman,3.00%,Rare (5.64%)
Orm Railgun Moa,3.00%,Uncommon (11.28%)
Taro Secura Osprey,3.00%,Rare (7.37%)
Axio Zerca,3.00%,Rare (5.64%)
Axio Vambac,3.00%,Rare (5.64%)
Axio Numon,3.00%,Rare (5.64%)
Axio Elite Crewman,3.00%,Rare (5.53%)
Axio Shield Osprey,3.00%,Rare (7.37%)
Axio Detron Crewman,3.00%,Rare (5.64%)
Axio Railgun Moa,3.00%,Uncommon (11.28%)
Vorac Zerca,3.00%,Rare (5.64%)
Vorac Vambac,3.00%,Rare (5.64%)
Vorac Numon,3.00%,Rare (5.64%)
Vorac Elite Crewman,3.00%,Rare (5.53%)
Vorac Shield Osprey,3.00%,Rare (7.37%)
Vorac Detron Crewman,3.00%,Rare (5.64%)
Vorac Railgun Moa,3.00%,Uncommon (11.28%)
Leaping Thrasher,4.50%,Rare (7.37%)
Machinist,3.00%,Rare (5.53%)
Arbitration Shield Drone,3.00%,Rare (7.37%)
Corrupted Drahk Master,3.00%,Uncommon (11.06%)
Derivator Crewman,3.00%,Rare (7.37%)
Tusk Elite Lancer,3.00%,Uncommon (11.06%)
Tusk Napalm,3.00%,Rare (5.53%)
Tusk Shield Lancer,3.00%,Uncommon (11.06%)
Tusk Roller,3.00%,Rare (7.37%)
Tusk Flameblade,3.00%,Rare (7.37%)
Tusk Butcher,3.00%,Rare (5.53%)
Tusk Shield Dargyn,12.50%,Uncommon (11.06%)
Tusk Shield Dargyn,3.00%,Rare (7.37%)
Tusk Dargyn,12.50%,Uncommon (11.06%)
Tusk Dargyn,3.00%,Rare (7.37%)
Tusk Ballista,3.00%,Uncommon (11.06%)
Tusk Predator,3.00%,Rare (7.37%)
Dargyn Pilot,3.00%,Uncommon (11.06%)
Tusk Command Dargyn,12.50%,Uncommon (11.06%)
Undying Flyer,4.50%,Uncommon (11.06%)
Juno Jactus Osprey,3.00%,Uncommon (11.06%)
Juno Oxium Osprey,3.00%,Rare (7.37%)
Juno Shield Osprey,3.00%,Rare (7.37%)
Guardsman,3.00%,Rare (3.69%)
Arcane Boiler,3.00%,Rare (7.37%)
Attack Drone,3.00%,Rare (7.37%)
Attack Drone,3.00%,Uncommon (22.11%)
Remech Osprey,3.00%,Rare (7.37%)
Nox,3.00%,Rare (7.52%)
Nemes,3.00%,Rare (7.37%)
Corvette,3.00%,Rare (5.64%)
Ranger,3.00%,Uncommon (11.06%)
Quanta Ranger,3.00%,Uncommon (11.06%)
Penta Ranger,3.00%,Uncommon (11.06%)
Frigate,3.00%,Uncommon (11.06%)
Gox,3.00%,Rare (5.64%)
Cannon Battery,3.00%,Uncommon (11.28%)
Locust Drone,20.00%,Uncommon (11.06%)
Carrier,5.00%,Rare (7.37%)
Corrupted Ancient,3.00%,Rare (5.53%)
Corrupted Heavy Gunner,3.00%,Uncommon (11.06%)
Corrupted Lancer,3.00%,Rare (5.53%)
Councilor Vay Hek,100.00%,Rare (4.42%)
Corpus Tech,3.00%,Rare (5.53%)
Nervo,3.00%,Rare (7.37%)
Elite Lancer,20.00%,Uncommon (22.11%)
Elite Lancer,3.00%,Uncommon (11.06%)
Elite Crewman,3.00%,Rare (5.53%)
Kuva Elite Lancer,3.00%,Uncommon (11.06%)
Kuva Drahk Master,3.00%,Rare (5.53%)
Kuva Napalm,3.00%,Rare (5.53%)
Kuva Hyekka Master,3.00%,Uncommon (22.11%)
Kuva Scorch,3.00%,Rare (5.64%)
Kuva Shield Lancer,3.00%,Uncommon (11.06%)
Kuva Roller,3.00%,Rare (7.37%)
Kuva Flameblade,3.00%,Rare (7.37%)
Kuva Butcher,3.00%,Rare (5.53%)
Kuva Powerclaw,3.00%,Rare (5.53%)
Kuva Ballista,3.00%,Uncommon (11.06%)
Kuva Scorpion,3.00%,Rare (7.37%)
Draga,3.00%,Uncommon (11.06%)
Fusion Moa,3.00%,Rare (5.53%)
Ghoul Devourer,10.00%,Rare (3.69%)
Ghoul Auger,10.00%,Rare (5.53%)
Ghoul Expired,20.00%,Rare (7.37%)
Artificer,100.00%,Rare (4.42%)
Carabus,3.00%,Rare (7.37%)
Drahk Master,3.00%,Rare (5.53%)
Arid Butcher,3.00%,Rare (4.42%)
Frontier Butcher,3.00%,Rare (4.42%)
Napalm,3.00%,Rare (5.53%)
Heavy Gunner,3.00%,Uncommon (11.06%)
Arid Heavy Gunner,3.00%,Uncommon (11.06%)
Hyekka Master,3.00%,Uncommon (22.11%)
Frontier Bailiff,3.00%,Rare (5.53%)
Bailiff,3.00%,Rare (5.53%)
Ogma,25.00%,Rare (7.37%)
Elite Arid Lancer,3.00%,Uncommon (11.06%)
Elite Frontier Lancer,3.00%,Uncommon (11.06%)
Scorch,3.00%,Rare (5.64%)
Kuva Dargyn,12.50%,Uncommon (11.06%)
Frontier Heavy Gunner,3.00%,Uncommon (11.06%)
Shield Lancer,3.00%,Uncommon (11.06%)
Lancer Dreg,3.00%,Rare (5.53%)
Zeplen,3.00%,Rare (7.52%)
Shield-Hellion Dargyn,20.00%,Rare (7.37%)
Hellion Dargyn,12.50%,Uncommon (11.06%)
Frontier Regulator,3.00%,Rare (7.37%)
Regulator,3.00%,Rare (7.37%)
Roller,3.00%,Rare (7.37%)
Roller Sentry,3.00%,Rare (7.37%)
Kuva Guardian,40.00%,Uncommon (22.11%)
Flameblade,3.00%,Rare (7.37%)
Butcher,3.00%,Rare (5.53%)
Powerfist,3.00%,Rare (5.53%)
Shield Dargyn,3.00%,Rare (5.64%)
Dargyn,3.00%,Rare (7.37%)
Ballista,3.00%,Uncommon (11.06%)
Dreg,3.00%,Rare (7.37%)
Temporal Dreg,10.00%,Uncommon (11.06%)
Ancient Healer,3.00%,Uncommon (22.11%)
Boiler,3.00%,Rare (7.37%)
Venin Mutalist,3.00%,Uncommon (11.06%)
Lobber Crawler,3.00%,Uncommon (11.06%)
Electric Crawler,3.00%,Rare (5.53%)
Crawler,3.00%,Rare (7.37%)
Swarm Mutalist Moa,3.00%,Uncommon (22.11%)
Toxic Crawler,3.00%,Uncommon (11.06%)
Attack Mutalist,3.00%,Rare (7.37%)
Mutalist Lightning Carrier,3.00%,Rare (7.37%)
Mutalist Toxic Carrier,3.00%,Rare (7.37%)
Toxic Ancient,3.00%,Rare (7.37%)
Darek Draga,3.00%,Uncommon (11.06%)
Scorpion,3.00%,Rare (7.37%)
Grineer Manic,50.00%,Rare (7.37%)
Mine Osprey,3.00%,Uncommon (11.06%)
Nullifier Crewman,3.00%,Uncommon (11.06%)
Corrupted Bombard,3.00%,Uncommon (11.06%)
Orokin Drone,3.00%,Uncommon (22.11%)
Corrupted Nullifier,3.00%,Uncommon (11.06%)
Courier,30.00%,Uncommon (22.11%)
Turret,3.00%,Uncommon (11.28%)
Railgun Moa,3.00%,Uncommon (11.28%)
Rare Orokin Storage Container,3.00%,Common (45.83%)
Rare Orokin Storage Container,3.00%,Common (45.83%)
Drekar Ballista,20.00%,Uncommon (22.11%)
Drekar Manic,3.00%,Rare (5.53%)
Sensor Regulator,3.00%,Rare (7.37%)
Orokin Spectator,3.00%,Uncommon (22.11%)
Shield Osprey,3.00%,Rare (7.37%)
Shock Draga,3.00%,Uncommon (11.06%)
Detron Crewman,3.00%,Rare (5.64%)
Sniper Crewman,3.00%,Uncommon (11.06%)
Latcher,3.00%,Rare (7.37%)
Oxium Osprey,3.00%,Rare (7.37%)
Mutalist Osprey,3.00%,Uncommon (11.06%)
Councilor Vay Hek,100.00%,Rare (4.42%)
Vay Hek Terra Frame,100.00%,Rare (4.42%)
Rathuum Broadcaster,3.00%,Rare (7.37%)
Corpus Warden,3.00%,Rare (5.53%)
Corrupted Warden,3.00%,Uncommon (11.06%)
Grineer Warden,3.00%,Uncommon (11.06%)
Sikula,3.00%,Uncommon (11.06%)
Deimos Leaping Thrasher,4.50%,Rare (7.37%)
Deimos Carnis,4.50%,Rare (7.37%)
Deimos Jugulus,4.50%,Rare (7.37%)
Deimos Jugulus Rex,100.00%,Rare (4.42%)
Latrox Une,3.00%,Rare (5.53%)
Deimos Ancient Healer,3.00%,Uncommon (22.11%)
Deimos Venin Mutalist,3.00%,Uncommon (11.06%)
Deimos Saxum,4.50%,Rare (7.37%)
Deimos Tendril Drone,3.00%,Rare (7.37%)
Garv,3.00%,Uncommon (11.06%)
Deimos Swarm Mutalist Moa,3.00%,Uncommon (22.11%)
